false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
0.00909090909090909,0.0,0.963704061383106
0.00909090909090909,0.2647058823529412,0.8292795160446096
0.01818181818181818,0.27941176470588236,0.826360756345043
0.01818181818181818,0.36764705882352944,0.7913832491497057
0.02727272727272727,0.36764705882352944,0.7772605562859953
0.02727272727272727,0.47058823529411764,0.7314526501318819
0.03636363636363636,0.47058823529411764,0.7313990446370436
0.03636363636363636,0.5294117647058824,0.6938334644800657
0.045454545454545456,0.5294117647058824,0.6906294103511939
0.045454545454545456,0.6470588235294118,0.62935613313151
0.07272727272727272,0.6470588235294118,0.5932312190549371
0.07272727272727272,0.6764705882352942,0.5870118401094827
0.1,0.6764705882352942,0.5462856335870319
0.1,0.6911764705882353,0.532551853003965
0.12727272727272726,0.6911764705882353,0.48895176588652234
0.12727272727272726,0.7205882352941176,0.4743508941781822
0.14545454545454545,0.7205882352941176,0.46877868733005734
0.14545454545454545,0.7352941176470589,0.45573579508219464
0.19090909090909092,0.7352941176470589,0.39995260034883606
0.19090909090909092,0.75,0.3992060569384523
0.2,0.75,0.3796711022083208
0.2,0.7941176470588235,0.3520017878557776
0.20909090909090908,0.7941176470588235,0.35086565729736624
0.20909090909090908,0.8088235294117647,0.3475194291479712
0.21818181818181817,0.8088235294117647,0.33653349038020597
0.21818181818181817,0.8235294117647058,0.32844170772026854
0.22727272727272727,0.8382352941176471,0.32587913705461163
0.2545454545454545,0.8382352941176471,0.3053757750508483
0.2545454545454545,0.8529411764705882,0.30299938554055955
0.2727272727272727,0.8529411764705882,0.28630299768874873
0.2727272727272727,0.8676470588235294,0.26184572673624196
0.3090909090909091,0.8676470588235294,0.2400026696327468
0.3090909090909091,0.8823529411764706,0.2336068414502545
0.36363636363636365,0.8823529411764706,0.21610532635656088
0.38181818181818183,0.8823529411764706,0.20940296322627883
0.41818181818181815,0.8823529411764706,0.1681623493458813
0.4818181818181818,0.8823529411764706,0.16735263246573553
0.509090909090909,0.8823529411764706,0.1566345363790719
0.509090909090909,0.8970588235294118,0.15317421798918318
0.5818181818181818,0.8970588235294118,0.1341444875177459
0.5818181818181818,0.9117647058823529,0.13293016579280867
0.6090909090909091,0.9117647058823529,0.1303326829532733
0.6090909090909091,0.9264705882352942,0.12890374845100883
0.6181818181818182,0.9264705882352942,0.1288601270327036
0.6363636363636364,0.9264705882352942,0.12828075955216434
0.6818181818181818,0.9264705882352942,0.11532796189739164
0.6818181818181818,0.9411764705882353,0.1148420565918846
0.7363636363636363,0.9411764705882353,0.10348246996139464
0.7363636363636363,0.9705882352941176,0.10024961945106509
0.7454545454545455,0.9705882352941176,0.09747935615402374
0.7636363636363637,0.9705882352941176,0.09715840019999747
0.8,0.9705882352941176,0.09712432372592444
0.8090909090909091,0.9705882352941176,0.09710223054693537
0.8090909090909091,0.9852941176470589,0.09709763572921687
0.8818181818181818,0.9852941176470589,0.08610856283185357
0.8818181818181818,1.0,0.08539057437833766
0.9090909090909091,1.0,0.07963627707828695
0.9272727272727272,1.0,0.0774906159699736
1.0,1.0,0.015064389288704379
