false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
0.0,0.10294117647058823,1.0
0.0,0.11764705882352941,0.9866666666666667
0.0,0.14705882352941177,0.98
0.00909090909090909,0.14705882352941177,0.9786273911273912
0.00909090909090909,0.16176470588235295,0.9766666666666667
0.00909090909090909,0.25,0.9666666666666667
0.00909090909090909,0.2647058823529412,0.9662032227032228
0.01818181818181818,0.3088235294117647,0.96
0.02727272727272727,0.3088235294117647,0.9528698893698895
0.02727272727272727,0.3382352941176471,0.9466666666666667
0.02727272727272727,0.35294117647058826,0.94
0.02727272727272727,0.38235294117647056,0.9333333333333333
0.02727272727272727,0.5,0.8333333333333334
0.02727272727272727,0.5294117647058824,0.82
0.03636363636363636,0.5294117647058824,0.8066666666666666
0.03636363636363636,0.5441176470588235,0.7533333333333333
0.045454545454545456,0.5588235294117647,0.74
0.07272727272727272,0.5588235294117647,0.6798888888888888
0.07272727272727272,0.6323529411764706,0.6266666666666667
0.09090909090909091,0.6323529411764706,0.5933333333333334
0.1,0.6470588235294118,0.5866666666666667
0.11818181818181818,0.6470588235294118,0.5533333333333333
0.11818181818181818,0.6764705882352942,0.52
0.12727272727272726,0.6911764705882353,0.5133333333333333
0.12727272727272726,0.7352941176470589,0.5
0.13636363636363635,0.75,0.4973809523809524
0.13636363636363635,0.7647058823529411,0.4866666666666667
0.19090909090909092,0.7647058823529411,0.38
0.19090909090909092,0.7794117647058824,0.35333333333333333
0.2,0.7794117647058824,0.35
0.21818181818181817,0.7941176470588235,0.3466666666666667
0.22727272727272727,0.7941176470588235,0.3333333333333333
0.2909090909090909,0.7941176470588235,0.3121746031746031
0.3,0.7941176470588235,0.30888888888888894
0.3,0.8088235294117647,0.30666666666666664
0.4,0.8088235294117647,0.2288888888888889
0.42727272727272725,0.8088235294117647,0.22
0.5363636363636364,0.8088235294117647,0.1502222222222222
0.5363636363636364,0.8382352941176471,0.14666666666666667
0.5454545454545454,0.8529411764705882,0.14
0.5636363636363636,0.8529411764705882,0.12222222222222223
0.6363636363636364,0.8529411764705882,0.08833333333333333
0.6454545454545455,0.8676470588235294,0.08666666666666667
0.6909090909090909,0.8676470588235294,0.06
0.7,0.8970588235294118,0.05333333333333334
0.7090909090909091,0.8970588235294118,0.05
0.7181818181818181,0.9117647058823529,0.04666666666666667
0.7363636363636363,0.9117647058823529,0.03333333333333333
0.7363636363636363,0.9264705882352942,0.030999999999999996
0.7454545454545455,0.9264705882352942,0.028
0.7636363636363637,0.9264705882352942,0.02666666666666667
0.7909090909090909,0.9264705882352942,0.02
0.8090909090909091,0.9264705882352942,0.015
0.8363636363636363,0.9411764705882353,0.013333333333333334
0.8363636363636363,0.9558823529411765,0.011555555555555557
0.8727272727272727,0.9558823529411765,0.006666666666666667
0.8909090909090909,0.9558823529411765,0.0051111111111111105
1.0,1.0,0.0
