false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
0.0,0.25,1.0
0.00909090909090909,0.2647058823529412,0.9285714285714286
0.01818181818181818,0.4852941176470588,0.9056603773584906
0.045454545454545456,0.5,0.8148148148148148
0.09090909090909091,0.6470588235294118,0.5070422535211268
0.2636363636363636,0.8529411764705882,0.38461538461538464
0.2818181818181818,0.8529411764705882,0.35714285714285715
0.9181818181818182,0.9852941176470589,0.11078717201166181
0.9727272727272728,0.9852941176470589,0.1
1.0,1.0,0.0
